weekend_date,SerailNum,quantity,channel_encoded,brand_encoded,category_encoded,sub_category_encoded
2023-08-26,4,503,1,1,2,2
2023-09-02,4,508,1,0,2,3
2023-09-02,5,192,1,0,0,0
2023-09-02,2,943,1,1,2,2
2023-09-02,4,2536,1,1,2,2
2023-09-09,4,587,1,0,2,3
2023-09-09,5,197,1,0,0,0
2023-09-09,2,1875,1,1,2,2
2023-09-09,4,2082,1,1,2,2
2023-09-16,4,1942,1,0,2,3
2023-09-16,5,624,1,0,0,0
2023-09-16,2,169,1,1,2,2
2023-09-16,4,261,1,1,2,2
2023-09-23,4,4283,1,0,2,3
2023-09-23,5,993,1,0,0,0
2023-09-23,2,115,1,1,2,2
2023-09-23,4,360,1,1,2,2
2023-09-30,4,2204,1,0,2,3
2023-09-30,5,505,1,0,0,0
2023-09-30,2,161,1,1,2,2
2023-09-30,4,402,1,1,2,2
2023-10-07,4,574,1,0,2,3
2023-10-07,5,188,1,0,0,0
2023-10-07,2,125,1,1,2,2
2023-10-07,4,338,1,1,2,2
2023-10-14,4,521,1,0,2,3
2023-10-14,5,184,1,0,0,0
2023-10-14,2,141,1,1,2,2
2023-10-14,4,334,1,1,2,2
2023-10-21,4,450,1,0,2,3
2023-10-21,5,170,1,0,0,0
2023-10-21,2,120,1,1,2,2
2023-10-21,4,311,1,1,2,2
2023-10-28,4,559,1,0,2,3
2023-10-28,5,158,1,0,0,0
2023-10-28,2,154,1,1,2,2
2023-10-28,4,411,1,1,2,2
2023-11-04,4,754,1,0,2,3
2023-11-04,5,203,1,0,0,0
2023-11-04,2,133,1,1,2,2
2023-11-04,4,371,1,1,2,2
2023-11-11,4,675,1,0,2,3
2023-11-11,5,52,1,0,0,0
2023-11-11,2,103,1,1,2,2
2023-11-11,4,367,1,1,2,2
2023-11-18,4,895,1,0,2,3
2023-11-18,2,149,1,1,2,2
2023-11-18,4,362,1,1,2,2
2023-11-25,4,992,1,0,2,3
2023-11-25,5,125,1,0,0,0
2023-11-25,2,170,1,1,2,2
2023-11-25,4,446,1,1,2,2
2023-12-02,4,1175,1,0,2,3
2023-12-02,5,256,1,0,0,0
2023-12-02,2,134,1,1,2,2
2023-12-02,4,399,1,1,2,2
2023-12-09,4,1082,1,0,2,3
2023-12-09,5,216,1,0,0,0
2023-12-09,2,686,1,1,2,2
2023-12-09,4,2177,1,1,2,2
2023-12-16,4,1078,1,0,2,3
2023-12-16,5,228,1,0,0,0
2023-12-16,2,1238,1,1,2,2
2023-12-16,4,3836,1,1,2,2
2023-12-23,4,1304,1,0,2,3
2023-12-23,5,241,1,0,0,0
2023-12-23,2,360,1,1,2,2
2023-12-23,4,1176,1,1,2,2
2023-12-30,4,819,1,0,2,3
2023-12-30,5,297,1,0,0,0
2023-12-30,2,127,1,1,2,2
2023-12-30,4,421,1,1,2,2
2024-01-06,4,1382,1,0,2,3
2024-01-06,5,161,1,0,0,0
2024-01-06,2,117,1,1,2,2
2024-01-06,4,473,1,1,2,2
2024-01-13,4,1355,1,0,2,3
2024-01-13,5,51,1,0,0,0
2024-01-13,2,104,1,1,2,2
2024-01-13,4,535,1,1,2,2
2024-01-20,4,1276,1,0,2,3
2024-01-20,5,13,1,0,0,0
2024-01-20,2,107,1,1,2,2
2024-01-20,4,462,1,1,2,2
2024-01-27,4,2943,1,0,2,3
2024-01-27,5,734,1,0,0,0
2024-01-27,2,152,1,1,2,2
2024-01-27,4,673,1,1,2,2
2024-02-03,4,56,1,0,2,3
